start,end,BD,BY,BE,BR,HM,HE,NRW,RH,SC,SCA,SH,TH,GE
2012-11-04,2012-11-10,66,59,73,76,48,62,66,66,69,53,67,76,64
2012-11-11,2012-11-17,63,55,61,61,44,61,59,60,57,45,58,65,57
2012-11-18,2012-11-24,61,61,61,61,44,58,60,66,71,47,53,82,60
2012-11-25,2012-12-01,70,61,66,68,37,57,59,63,72,51,60,88,65
2012-12-02,2012-12-08,83,73,73,72,45,70,71,68,80,47,55,99,73
2012-12-09,2012-12-15,88,83,75,82,49,78,76,92,99,72,71,85,81
2012-12-16,2012-12-22,79,72,83,78,50,74,74,80,86,51,50,87,75
2012-12-23,2012-12-29,61,53,66,56,33,54,57,53,53,40,43,54,56
2012-12-30,2013-01-05,61,53,63,57,42,53,55,55,57,48,53,46,54
2013-01-06,2013-01-12,50,47,58,59,45,48,50,48,53,41,60,49,51
2013-01-13,2013-01-19,50,46,61,55,41,48,48,42,47,41,54,50,49
2013-01-20,2013-01-26,55,51,60,65,47,52,53,53,58,53,50,54,55
2013-01-27,2013-02-02,52,48,62,61,49,51,53,49,53,47,42,50,54
2013-02-03,2013-02-09,49,48,66,62,33,54,52,48,59,37,40,44,51
2013-02-10,2013-02-16,57,49,61,57,41,48,55,47,54,42,46,55,52
2013-02-17,2013-02-23,51,49,55,54,34,47,54,50,50,38,47,55,52
2013-02-24,2013-03-02,56,49,57,60,34,52,52,46,59,50,41,53,53
2013-03-03,2013-03-09,52,47,57,49,49,49,52,43,49,40,47,46,51
2013-03-10,2013-03-16,51,45,57,53,47,51,51,44,58,38,51,53,51
2013-03-17,2013-03-23,51,49,68,58,50,46,53,49,56,37,56,64,54
2013-03-24,2013-03-30,54,53,70,58,52,55,58,58,60,50,58,47,56
2013-03-31,2013-04-06,53,49,63,56,50,50,55,55,54,52,47,60,54
2013-04-07,2013-04-13,53,49,62,53,55,54,54,53,53,51,60,54,52
2013-04-14,2013-04-20,57,50,67,71,57,52,61,54,64,54,60,60,59
2013-04-21,2013-04-27,54,48,65,57,57,50,59,53,58,50,62,55,56
2013-04-28,2013-05-04,57,49,69,57,53,51,60,52,59,56,61,62,57
2013-05-05,2013-05-11,54,52,65,62,57,54,61,56,56,43,60,67,58
2013-05-12,2013-05-18,54,49,66,69,56,52,57,59,52,36,47,60,57
2013-05-19,2013-05-25,55,51,62,59,55,46,55,50,54,40,50,54,55
2013-05-26,2013-06-01,54,53,67,62,61,49,55,51,59,41,46,59,55
2013-06-02,2013-06-08,55,49,66,54,55,49,55,50,49,30,43,47,53
2013-06-09,2013-06-15,56,49,66,58,63,54,57,52,54,46,56,51,55
2013-06-16,2013-06-22,55,52,64,54,59,52,57,52,57,44,42,59,54
2013-06-23,2013-06-29,55,54,66,64,65,56,57,58,56,47,66,58,59
2013-06-30,2013-07-06,63,54,72,70,54,56,59,55,54,48,65,55,59
2013-07-07,2013-07-13,63,51,68,71,49,52,59,54,53,51,59,64,58
2013-07-14,2013-07-20,63,57,76,77,66,62,63,60,67,52,56,54,61
2013-07-21,2013-07-27,63,56,67,74,49,58,62,64,63,43,57,73,62
2013-07-28,2013-08-03,61,57,77,76,56,64,62,67,65,56,51,59,63
2013-08-04,2013-08-10,58,54,73,68,49,56,63,68,66,48,62,71,61
2013-08-11,2013-08-17,60,54,76,73,40,58,63,62,60,53,61,56,60
2013-08-18,2013-08-24,62,59,65,64,49,56,62,64,61,56,54,71,62
2013-08-25,2013-08-31,66,60,69,68,50,56,66,57,69,54,65,70,63
2013-09-01,2013-09-07,63,56,65,69,42,53,60,58,62,53,59,53,58
2013-09-08,2013-09-14,61,58,67,68,44,53,59,56,68,47,67,61,59
2013-09-15,2013-09-21,56,53,65,71,43,55,58,59,55,42,50,60,55
2013-09-22,2013-09-28,53,51,60,71,41,54,56,50,58,55,52,49,55
2013-09-29,2013-10-05,59,55,64,69,47,50,57,59,55,52,60,56,57
2013-10-06,2013-10-12,59,53,61,68,42,52,57,60,55,48,57,51,57
2013-10-13,2013-10-19,61,54,72,71,49,58,58,54,56,39,64,60,58
2013-10-20,2013-10-26,57,55,72,70,40,61,59,63,53,55,48,60,57
2013-10-27,2013-11-02,61,58,70,65,48,51,61,63,58,43,44,66,59
