Date,A,B,C,D
2013-01-01,79.6,-12.7,79.9,-12.8
2013-02-01,76.1,-10.9,76.2,-11.4
2013-03-01,90.7,-11.2,90.9,-11.7
2013-04-01,83.1,-6.3,83.3,-7.3
2013-05-01,85.6,-8.2,85.9,-9
2013-06-01,82.9,-14.1,83.2,-14.6
2013-07-01,92.2,8.7,92.2,8.1
2013-08-01,89.9,3.3,90.2,3
2013-09-01,81.4,4.8,81.5,4.4
2013-10-01,88.9,7.8,89.1,7.2
2013-11-01,96.8,8,97.1,8
2013-12-01,124.2,7.3,124.5,7.2
2014-01-01,87.7,10.2,88,10.1
2014-02-01,84.5,11,84.6,11
2014-03-01,91.7,1.1,91.9,1.1
2014-04-01,93.8,12.9,94.2,13.1
2014-05-01,96.1,12.3,96.6,12.5
2014-06-01,90,8.6,90.4,8.7
2014-07-01,98.8,7.2,99,7.4
2014-08-01,95,5.7,95.1,5.4
2014-09-01,93.9,15.4,94.2,15.6
2014-10-01,99.3,11.7,99.4,11.6
2014-11-01,104.4,7.9,104.5,7.6
2014-12-01,136.5,9.9,136.4,9.6
2015-01-01,98.4,12.2,97.9,11.3
2015-02-01,89.9,6.4,90,6.4
2015-03-01,102.3,11.6,102.9,12
2015-04-01,99.5,6.1,100.3,6.5
2015-05-01,98.8,2.8,99.5,3
2015-06-01,101.6,12.9,102.3,13.2
2015-07-01,106.9,8.2,107.1,8.2
2015-08-01,100.9,6.2,100.7,5.9
2015-09-01,101,7.6,100.6,6.8
