Date,A,B,C
2013-01-01,11.4,11.9,10.8
2013-02-01,11.5,12.1,10.9
2013-03-01,11.6,12.2,10.9
2013-04-01,11.6,12.1,11
2013-05-01,11.1,11.5,10.7
2013-06-01,10.9,11.3,10.6
2013-07-01,11.2,11.4,10.9
2013-08-01,11.1,11.2,10.9
2013-09-01,10.7,10.9,10.5
2013-10-01,10.7,10.9,10.5
2013-11-01,10.5,10.7,10.3
2013-12-01,10.6,10.9,10.4
2014-01-01,11,11.5,10.6
2014-02-01,11.1,11.5,10.6
2014-03-01,11,11.4,10.5
2014-04-01,11,11.4,10.6
2014-05-01,10.8,11.2,10.5
2014-06-01,10.8,11.1,10.5
2014-07-01,11,11.3,10.7
2014-08-01,11.2,11.3,11.1
2014-09-01,10.9,11,10.8
2014-10-01,10.7,10.9,10.4
2014-11-01,10.5,10.8,10.3
2014-12-01,10.6,10.9,10.2
2015-01-01,11.2,11.6,10.7
2015-02-01,11.2,11.7,10.6
2015-03-01,11.1,11.6,10.5
2015-04-01,11.1,11.5,10.6
2015-05-01,11,11.5,10.3
2015-06-01,10.9,11.4,10.3
2015-07-01,11,11.4,10.5
2015-08-01,11.1,11.4,10.7
2015-09-01,10.7,11.1,10.3
2015-10-01,10.7,11,10.3
2015-11-01,10.5,10.9,10.1
