Date,A,B,C
2013-01-01,6.1,6.3,5.9
2013-02-01,6.1,6.4,5.9
2013-03-01,6.1,6.3,5.8
2013-04-01,6.1,6.2,5.9
2013-05-01,5.8,5.9,5.8
2013-06-01,5.7,5.8,5.7
2013-07-01,5.9,5.9,6
2013-08-01,5.9,5.8,6
2013-09-01,5.7,5.6,5.8
2013-10-01,5.6,5.5,5.6
2013-11-01,5.5,5.5,5.5
2013-12-01,5.6,5.6,5.5
2014-01-01,6,6.2,5.9
2014-02-01,6,6.2,5.8
2014-03-01,5.9,6.1,5.8
2014-04-01,5.8,5.9,5.8
2014-05-01,5.7,5.7,5.7
2014-06-01,5.6,5.6,5.6
2014-07-01,5.8,5.7,5.8
2014-08-01,5.9,5.8,6
2014-09-01,5.7,5.6,5.8
2014-10-01,5.5,5.4,5.6
2014-11-01,5.4,5.3,5.4
2014-12-01,5.4,5.4,5.4
2015-01-01,5.9,6,5.7
2015-02-01,5.8,6,5.6
2015-03-01,5.7,5.8,5.6
2015-04-01,5.6,5.7,5.6
2015-05-01,5.4,5.5,5.4
2015-06-01,5.3,5.4,5.3
2015-07-01,5.4,5.4,5.4
2015-08-01,5.5,5.5,5.6
2015-09-01,5.3,5.3,5.4
2015-10-01,5.2,5.2,5.3
2015-11-01,5.1,5.1,5.1
