Date,A,B,C
2013-01-01,7.6,8.2,7.1
2013-02-01,7.6,8.2,6.9
2013-03-01,7.6,8.1,6.9
2013-04-01,7.5,8,6.9
2013-05-01,7.3,7.8,6.8
2013-06-01,7.3,7.7,6.8
2013-07-01,7.6,7.9,7.2
2013-08-01,7.4,7.8,7.1
2013-09-01,7.3,7.7,6.9
2013-10-01,7.3,7.7,7
2013-11-01,7.3,7.6,6.9
2013-12-01,7.3,7.7,6.9
2014-01-01,7.9,8.3,7.3
2014-02-01,7.9,8.4,7.3
2014-03-01,7.8,8.3,7.3
2014-04-01,7.7,8.1,7.2
2014-05-01,7.6,7.9,7.1
2014-06-01,7.5,7.8,7
2014-07-01,7.7,8,7.4
2014-08-01,7.6,7.9,7.4
2014-09-01,7.4,7.6,7
2014-10-01,7.3,7.6,7
2014-11-01,7.2,7.5,6.8
2014-12-01,7.2,7.5,6.8
2015-01-01,7.7,8.2,7.3
2015-02-01,7.8,8.3,7.2
2015-03-01,7.6,8.1,7.1
2015-04-01,7.6,8,7.1
2015-05-01,7.5,8,6.9
2015-06-01,7.3,7.8,6.8
2015-07-01,7.6,8,7.1
2015-08-01,7.5,7.9,7.1
2015-09-01,7.3,7.7,6.9
2015-10-01,7.3,7.7,6.8
2015-11-01,7.1,7.6,6.6
