Date,A,B,C
2013-01-01,5.9,6.1,5.6
2013-02-01,5.9,6.2,5.6
2013-03-01,5.8,6,5.5
2013-04-01,5.6,5.7,5.5
2013-05-01,5.4,5.5,5.4
2013-06-01,5.3,5.3,5.3
2013-07-01,5.5,5.4,5.6
2013-08-01,5.5,5.4,5.7
2013-09-01,5.2,5.1,5.3
2013-10-01,5.1,5,5.2
2013-11-01,5.1,5.1,5.2
2013-12-01,5.3,5.3,5.3
2014-01-01,5.9,6.1,5.6
2014-02-01,5.9,6.1,5.6
2014-03-01,5.7,5.9,5.6
2014-04-01,5.5,5.6,5.4
2014-05-01,5.3,5.4,5.3
2014-06-01,5.2,5.3,5.2
2014-07-01,5.3,5.3,5.4
2014-08-01,5.5,5.4,5.6
2014-09-01,5.2,5.1,5.3
2014-10-01,5,5,5
2014-11-01,5,5,5
2014-12-01,5.1,5.2,5.1
2015-01-01,5.7,6,5.5
2015-02-01,5.7,6,5.4
2015-03-01,5.5,5.7,5.3
2015-04-01,5.3,5.4,5.2
2015-05-01,5.1,5.2,5
2015-06-01,5,5.1,5
2015-07-01,5.1,5.1,5.1
2015-08-01,5.3,5.2,5.3
2015-09-01,5,5,5
2015-10-01,4.8,4.8,4.9
2015-11-01,4.8,4.8,4.8
