Date,A,B,C
2013-01-01,12.6,13.4,11.6
2013-02-01,12.6,13.6,11.5
2013-03-01,12.3,13.2,11.4
2013-04-01,11.8,12.4,11.1
2013-05-01,11.2,11.5,10.9
2013-06-01,10.7,10.9,10.6
2013-07-01,10.7,10.6,10.7
2013-08-01,10.8,10.5,11.1
2013-09-01,10.3,10.1,10.5
2013-10-01,10.1,9.9,10.2
2013-11-01,10.1,10.1,10.2
2013-12-01,10.7,10.9,10.4
2014-01-01,12,12.8,11.1
2014-02-01,12,12.8,11.1
2014-03-01,11.5,12.1,10.8
2014-04-01,11,11.4,10.7
2014-05-01,10.8,10.9,10.6
2014-06-01,10.4,10.5,10.4
2014-07-01,10.3,10.2,10.3
2014-08-01,10.3,10.1,10.6
2014-09-01,10,9.8,10.3
2014-10-01,9.8,9.6,9.9
2014-11-01,9.8,9.7,9.9
2014-12-01,10.2,10.3,10
2015-01-01,11.4,12,10.8
2015-02-01,11.3,12,10.6
2015-03-01,10.8,11.3,10.2
2015-04-01,10.3,10.6,10
2015-05-01,10,10.2,9.9
2015-06-01,9.8,9.8,9.7
2015-07-01,10,9.9,10.1
2015-08-01,10,9.8,10.2
2015-09-01,9.7,9.6,9.8
2015-10-01,9.5,9.5,9.6
2015-11-01,9.6,9.6,9.5
