Date,A,B,C
2013-01-01,7.5,8,7
2013-02-01,7.6,8.1,6.9
2013-03-01,7.4,7.9,6.8
2013-04-01,7.1,7.5,6.6
2013-05-01,6.7,7.1,6.3
2013-06-01,6.6,6.9,6.3
2013-07-01,6.8,7,6.6
2013-08-01,6.7,6.9,6.5
2013-09-01,6.5,6.7,6.3
2013-10-01,6.5,6.7,6.3
2013-11-01,6.7,6.9,6.4
2013-12-01,6.9,7.2,6.6
2014-01-01,7.5,8,7.1
2014-02-01,7.6,8,7
2014-03-01,7.3,7.7,6.8
2014-04-01,6.9,7.3,6.5
2014-05-01,6.7,7,6.3
2014-06-01,6.5,6.8,6.2
2014-07-01,6.7,7,6.5
2014-08-01,6.7,6.9,6.5
2014-09-01,6.4,6.6,6.2
2014-10-01,6.3,6.5,6
2014-11-01,6.3,6.6,6
2014-12-01,6.5,6.8,6.1
2015-01-01,7.1,7.6,6.6
2015-02-01,7.1,7.7,6.5
2015-03-01,6.9,7.4,6.3
2015-04-01,6.6,7,6.1
2015-05-01,6.3,6.7,5.8
2015-06-01,6.2,6.6,5.7
2015-07-01,6.4,6.8,6
2015-08-01,6.5,6.8,6.2
2015-09-01,6.2,6.6,5.9
2015-10-01,6.1,6.5,5.8
2015-11-01,6.2,6.6,5.8
