Date,A
2015-10-01,106.6
2015-09-01,106.2
2015-08-01,105.1
2015-07-01,104.5
2015-06-01,105.2
2015-05-01,105.4
2015-04-01,105.7
2015-03-01,105.5
2015-02-01,104.2
2015-01-01,103.7
2014-12-01,104.9
2014-11-01,105.0
2014-10-01,104.9
2014-09-01,104.9
2014-08-01,103.6
2014-07-01,103.3
2014-06-01,103.9
2014-05-01,104.3
2014-04-01,104.4
2014-03-01,104.5
2014-02-01,103.4
2014-01-01,102.9
2013-12-01,103.7
2013-11-01,104.2
2013-10-01,104.2
2013-09-01,103.7
2013-08-01,102.4
2013-07-01,102.3
2013-06-01,103.0
2013-05-01,103.3
2013-04-01,103.5
2013-03-01,103.4
2013-02-01,102.2
2013-01-01,101.5
2012-12-01,102.7
2012-11-01,103.0
2012-10-01,103.0
2012-09-01,102.6
2012-08-01,101.5
2012-07-01,101.1
2012-06-01,102.0
2012-05-01,102.4
2012-04-01,102.3
2012-03-01,102.1
2012-02-01,101.1
2012-01-01,100.6
