start,end,aldi,dm,douglas,drogerie,kaufland,lidl,makeUp,metro,netto,rewe,rossmann
2012-07-01,2012-07-07,74,56,37,56,34,65,24,63,75,37,66
2012-07-08,2012-07-14,72,56,37,56,32,66,24,62,84,36,58
2012-07-15,2012-07-21,72,56,38,56,33,66,24,66,76,37,72
2012-07-22,2012-07-28,71,55,37,55,34,65,23,65,85,39,58
2012-07-29,2012-08-04,70,57,44,59,37,65,23,67,80,37,71
2012-08-05,2012-08-11,69,63,42,67,36,66,24,64,81,35,66
2012-08-12,2012-08-18,68,57,40,56,37,65,24,68,78,36,64
2012-08-19,2012-08-25,70,56,40,55,34,65,23,64,75,36,71
2012-08-26,2012-09-01,73,56,42,57,34,66,24,67,75,37,62
2012-09-02,2012-09-08,69,55,40,55,33,67,23,61,87,37,66
2012-09-09,2012-09-15,72,56,38,55,32,64,22,62,78,36,58
2012-09-16,2012-09-22,76,54,37,54,31,69,23,62,73,37,65
2012-09-23,2012-09-29,84,55,37,55,33,76,25,59,78,39,56
2012-09-30,2012-10-06,77,53,37,53,34,71,24,61,75,41,64
2012-10-07,2012-10-13,78,53,39,53,33,75,27,63,72,36,56
2012-10-14,2012-10-20,76,53,44,53,33,69,28,58,70,37,64
2012-10-21,2012-10-27,77,53,45,55,32,73,32,60,72,35,56
2012-10-28,2012-11-03,84,56,46,59,34,76,47,67,74,35,69
2012-11-04,2012-11-10,78,63,49,71,33,72,25,62,71,36,67
2012-11-11,2012-11-17,76,58,51,58,32,72,24,62,69,37,58
2012-11-18,2012-11-24,83,61,57,64,33,75,24,66,71,38,70
2012-11-25,2012-12-01,84,64,61,68,38,79,23,71,81,41,67
2012-12-02,2012-12-08,88,74,74,83,58,82,24,72,85,40,79
2012-12-09,2012-12-15,89,81,81,92,58,84,24,96,83,40,79
2012-12-16,2012-12-22,79,76,87,82,68,81,23,91,97,48,86
2012-12-23,2012-12-29,85,57,63,56,77,85,29,90,100,62,58
2012-12-30,2013-01-05,83,56,43,55,64,76,31,74,77,71,61
2013-01-06,2013-01-12,71,52,39,50,34,66,27,59,72,39,63
2013-01-13,2013-01-19,71,50,38,48,33,73,29,57,70,35,51
2013-01-20,2013-01-26,68,55,40,57,32,66,32,56,70,34,57
2013-01-27,2013-02-02,69,54,41,51,33,64,35,66,75,36,51
2013-02-03,2013-02-09,65,52,41,50,34,62,44,59,74,36,58
2013-02-10,2013-02-16,71,53,43,50,36,67,33,62,75,39,53
2013-02-17,2013-02-23,75,51,39,48,32,67,28,62,74,34,61
