start,end,BD,BY,BE,BR,HM,HE,NRW,RH,SC,SCA,SH,TH,GE
2012-11-04,2012-11-10,69,60,72,51,58,70,66,52,74,57,60,68,66
2012-11-11,2012-11-17,58,59,64,46,55,67,56,40,61,58,61,61,58
2012-11-18,2012-11-24,65,73,82,59,53,74,66,44,80,66,71,56,70
2012-11-25,2012-12-01,65,60,68,64,51,70,60,41,70,69,66,53,64
2012-12-02,2012-12-08,72,82,89,75,71,89,72,46,95,100,74,75,77
2012-12-09,2012-12-15,70,74,91,75,69,88,70,40,100,92,80,69,79
2012-12-16,2012-12-22,76,87,97,81,74,94,84,52,87,76,98,84,86
2012-12-23,2012-12-29,62,56,78,51,61,59,59,34,49,58,62,35,60
2012-12-30,2013-01-05,62,64,72,55,57,68,52,37,62,57,56,43,58
2013-01-06,2013-01-12,60,61,74,54,53,72,61,38,70,73,66,64,64
2013-01-13,2013-01-19,50,53,60,39,39,56,48,42,51,56,55,43,51
2013-01-20,2013-01-26,53,58,67,46,46,69,55,44,64,67,52,43,58
2013-01-27,2013-02-02,45,51,62,45,43,53,45,34,57,47,40,41,50
2013-02-03,2013-02-09,56,55,75,48,52,56,59,38,58,71,70,41,58
2013-02-10,2013-02-16,52,52,58,45,42,55,45,44,59,51,53,42,50
2013-02-17,2013-02-23,49,61,61,59,55,60,58,46,68,72,63,47,58
2013-02-24,2013-03-02,50,51,52,50,35,50,49,40,47,50,44,35,51
2013-03-03,2013-03-09,60,61,61,59,46,59,52,49,53,50,56,41,56
2013-03-10,2013-03-16,56,56,68,51,39,56,49,40,59,62,48,58,55
2013-03-17,2013-03-23,62,68,73,61,53,67,61,56,60,70,59,54,65
2013-03-24,2013-03-30,65,56,66,56,53,60,58,53,61,68,55,44,58
2013-03-31,2013-04-06,54,65,59,54,48,61,55,39,58,70,50,60,57
2013-04-07,2013-04-13,67,60,70,58,47,62,58,39,70,75,61,58,60
2013-04-14,2013-04-20,59,55,58,51,41,53,50,43,51,52,49,41,52
2013-04-21,2013-04-27,70,57,67,59,50,68,59,44,58,68,63,49,59
2013-04-28,2013-05-04,56,58,64,58,40,58,56,34,49,51,46,47,53
2013-05-05,2013-05-11,67,67,70,54,44,69,59,39,62,61,52,42,57
2013-05-12,2013-05-18,64,59,68,62,47,61,63,45,64,66,57,43,61
2013-05-19,2013-05-25,59,50,60,56,38,51,57,45,50,54,38,56,53
2013-05-26,2013-06-01,71,65,80,69,53,69,64,47,66,59,57,52,67
2013-06-02,2013-06-08,60,56,61,58,41,61,59,45,50,43,64,38,57
2013-06-09,2013-06-15,56,53,72,57,43,55,56,46,57,52,51,50,57
2013-06-16,2013-06-22,74,70,77,62,55,73,67,39,67,76,71,55,68
2013-06-23,2013-06-29,63,60,69,69,47,61,57,43,57,51,48,53,58
2013-06-30,2013-07-06,60,65,86,56,61,64,67,46,70,68,72,41,66
2013-07-07,2013-07-13,51,57,71,46,62,62,61,43,54,60,54,41,58
2013-07-14,2013-07-20,63,75,68,57,75,75,70,53,77,71,67,62,68
2013-07-21,2013-07-27,57,62,72,52,64,69,61,41,68,71,67,52,61
2013-07-28,2013-08-03,70,70,82,58,65,70,74,38,72,70,80,62,73
2013-08-04,2013-08-10,50,66,67,50,54,64,62,40,62,72,60,49,62
2013-08-11,2013-08-17,63,71,71,53,59,72,73,44,74,64,75,56,68
2013-08-18,2013-08-24,75,57,71,48,52,62,63,48,60,65,63,53,62
2013-08-25,2013-08-31,68,74,74,56,59,64,72,39,73,68,72,65,71
2013-09-01,2013-09-07,60,55,59,47,54,68,56,35,60,37,49,41,55
2013-09-08,2013-09-14,56,67,78,50,56,69,63,36,69,59,68,57,65
2013-09-15,2013-09-21,48,51,63,45,41,54,49,37,53,46,53,53,53
