Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N
20120808,16.9,14.2,5.6,1016.78,74.63,4.4,21.8,13,10.9,10.8,0.1,6,3.85,0
20120809,16.1,13.7,4.8,1018.8,76.21,3,20,11.7,8.3,9.5,0,0,3.667,0
20120810,15,13.2,6.4,1019.44,78.58,2.8,18.4,11.3,9.1,8,1.4,6,1.817,0
20120811,16.4,13,3.6,1018.37,71.71,2.1,21.1,12.2,10.2,6.7,0,0,8.183,0
20120812,16.7,11.6,2,1016.21,63.42,2.7,21.2,11.3,8.7,8.3,0,0,11.35,0
20120813,17.4,11.9,2,1014.52,62.17,2.6,22,11.6,7.3,8.1,0,0,12.267,0
20120814,17.9,13.1,1.4,1013.21,65.92,2.1,23.1,11.6,6.5,7.3,0,0,12.4,0
20120815,18.2,13.5,2.5,1012.1,67.38,2,23.5,10.5,6.7,7.9,0,0,13.4,0
20120816,17.7,16.9,5.9,1012.97,84.38,1.8,23,14.1,10.3,8.6,1.8,6,5.5,0
20120817,19,16.6,5.7,1017.4,77.58,1.8,24.1,14.2,11.1,5.6,0,0,10.883,0
20120818,21.9,15.1,4.7,1017.83,60.46,1.9,27.6,15.6,10.7,5.7,0,0,12.517,0
20120819,26.7,15.6,0.4,1014.05,47.58,2.1,35.4,16.7,12.2,7,0,0,13.3,0
20120820,26.5,20.4,4.4,1011.96,59.92,1.9,34.1,20.4,16,10.2,0.2,6,7.683,0
20120821,21.9,18.9,5.2,1013.13,73.25,2.2,26.1,17.9,16.3,16.4,39.1,6,5.267,0
20120822,20.3,17.1,4.8,1008.55,73.13,3.9,24.6,16.2,11.9,13.3,0,6,8.6,0
20120823,18.4,13.2,2.6,1010.45,64.29,3,23.2,13.5,8.4,10.7,0.1,6,12.65,0
20120824,15.9,15.9,6.7,1004.18,87.38,1.7,18,13,8,6.4,1.5,6,0.067,0
20120825,19.7,17.8,5.9,1002.72,78.83,2.8,24.8,15.6,13.5,9.8,0.7,6,5.25,0
20120826,18.4,15.7,5.6,1004.45,74.83,5.1,23.2,15,12.6,14.5,0.7,6,5.8,0
20120827,16.2,11.9,2.3,1015.07,66.83,3.7,20.8,11.8,7,11.6,0,0,10.5,0
20120828,18.1,12.6,5.2,1013.65,61.63,2.3,23.9,11.7,9.2,6.2,0.2,6,5.933,0
20120829,20,14.7,3.3,1013.79,66.17,1.7,26.6,11.7,8,5.6,0,0,11.467,0
20120830,20.4,18.2,6.9,1010.68,76,2.4,23.4,17.5,15.1,7.4,1.7,6,1.3,0
20120831,16.9,17,7.2,1011.72,88.25,2.2,19.4,13.4,10.7,5.8,0.1,6,0,0
20120901,15.5,13.2,2.8,1019.4,76.5,2.4,19.7,10.6,5.6,7.7,0,0,10.783,0
20120902,15.5,12.5,5.9,1020.95,72.67,0.9,20.6,8.8,4,4.2,0,0,6.567,0
20120903,17.4,14,5.3,1019.08,72.63,1.6,22.8,12.1,7.6,7.2,0,0,8.7,0
20120904,17.3,14.9,2.3,1016.98,77.38,1.5,23.5,10.3,6.6,7.3,0,6,10.483,0
20120905,16.2,14.1,6.2,1015.04,77.63,2,20.1,13.3,9.5,7.2,0.1,6,2.517,0
20120906,14.6,10.5,4.8,1019.18,64.33,3.8,19.1,11.3,7.7,9.5,0,6,9.583,0
20120907,15.8,13.4,7.1,1015.86,73.88,4.8,19,12,9.7,11.3,1.7,6,0,0
20120908,16.6,16.9,5.3,1015.15,89.5,2.6,20.4,13.2,8.6,6.9,3.3,6,1.75,0
20120909,17.8,16.1,4.2,1014.3,80.29,2.4,23.9,10.5,6.7,7.4,0,0,9.25,0
20120910,21.9,15.2,4.4,1009.8,61.29,1.9,28.6,15.5,12.7,5.7,0,0,10.217,0
20120911,21.1,15.1,4.8,1006.47,61.63,3.4,28.8,15.1,12.2,14.3,0.3,6,8.367,0
20120912,13.8,12.1,6.9,1006.71,76.83,3,17.2,10.1,6.5,8.5,0,6,2.733,0
20120913,12.4,10.3,2.2,1010.54,73.75,1.9,17.9,6.2,3,6.9,0,0,8.383,0
20120914,14.5,11.3,4.6,1006.32,69.96,4.7,20.4,8.5,4.1,13.5,2,6,6.383,0
20120915,14.6,13,7,1009.2,79,4.7,17.6,11.5,10.2,10.2,0,6,1.567,0
20120916,16.7,12.1,3.1,1011.72,65.38,2.9,21.9,11.1,6.9,9.1,0,0,8.367,0
20120917,16.8,13.4,2.8,1008.66,71.04,2.4,22.7,12.2,8,8.8,0,0,8.217,0
20120918,17.1,14,4.7,1005.9,73.71,2.5,23.9,10.7,6.1,10.8,4.3,6,9.717,0
20120919,12.2,10.1,3.6,1010.71,72.63,3.5,16.4,7.3,2.2,12.9,0,6,8.8,0
20120920,10.7,8.7,2.9,1017.45,69.5,3,16.1,5,0.8,10.8,0,0,7.317,0
20120921,12.7,8.6,6.2,1013.64,60.63,3.1,17.7,6.7,1.7,8.8,0.1,6,5.717,0
20120922,11.7,9.7,4.9,1006.65,70.5,4.9,16.3,6,2.3,17.7,0,6,4.6,0
20120923,10.5,8.6,3.8,1012.46,70.38,2.4,16.3,4.4,-1.1,8.6,0.1,6,7.733,0
20120924,13.7,11.1,7.5,998.92,70.08,4.1,16.4,10.2,9,11.2,2.9,6,0,0
20120925,16.2,12.6,5.5,998.6,70.42,3.7,22.5,10.5,5.3,9.4,4.1,6,4.683,0
20120926,17.7,14.8,7,998.4,74.42,2.7,23.5,12.9,11.6,9.2,3.4,6,3.133,0
20120927,14.4,13,6.5,1001.9,79.5,3.9,16.8,12.2,11.8,11.2,7.9,6,2.567,0
20120928,14.1,11.3,4.1,1011.06,71.17,4.8,17.7,9.9,5.4,11.5,0,0,5.933,0
20120929,12.5,10.9,4.1,1010.73,76,3.3,18.7,6.8,3.8,12.3,0.1,6,1.983,0
20120930,11.6,9.7,1.3,1016.21,72.54,3.5,16.8,7,2.3,8.9,0,0,9.333,0
20121001,12.3,10.4,6,1013.01,73.17,1.2,18.8,6.5,1.6,6.6,0,0,5.433,0
20121002,13.5,10.7,3.5,1011.6,70.79,1.7,19.7,6.7,1.1,6.3,0,0,9.433,0
20121003,15.3,11.5,4.8,1008.32,67.29,3.6,21.2,10.7,6.6,10.8,0,6,5.617,0
20121004,13.5,12.5,6.8,1002.91,80.58,5.6,16.6,8.1,6.4,25.5,6.6,6,0,0
20121005,11.6,11.7,6.7,1005.52,85.33,5.6,17,7.6,5.2,19.4,4.1,6,0.9,0
20121006,11.1,12.1,5.8,1004.96,90.67,3.8,17.5,6.3,1.9,16.9,7.5,6,0,0
20121007,8.7,9.9,4.7,1010.49,88.71,3.9,13.2,5.8,1.9,11.6,0.8,6,2.417,0
20121008,9.6,9.5,5.6,1012.64,79.88,4.4,13.2,5.3,1.2,10.2,0,0,4.333,0
20121009,7.6,8.1,1.3,1005.41,78.92,4,12.8,2.9,-1,14.3,0,6,7.317,0
20121010,6.8,9,4.5,1008.76,91.08,3.3,9.6,3.3,1.1,8.3,1.4,6,0.35,0
20121011,7.5,9.5,4.8,1010.38,92.21,1.8,11.8,3.4,0.3,4.8,0,0,3.167,0
20121012,8.4,9.2,4.8,1006.4,83.92,3.2,13,3.2,0.3,8.8,3.4,6,5.333,0
20121013,10.6,9.6,3.8,1006.37,75.58,4.1,14.2,7.1,5.2,9.2,0.8,6,8.167,0
20121014,9.8,9,5.7,998.71,74.88,3.7,13.4,6.9,5.1,11.1,1.4,6,5.467,0
20121015,9.7,10.2,6,999.01,84.54,4.1,13.3,5.3,1.7,10.8,0,6,0.1,0
