Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N
20120320,5.5,7.2,2.8,980.42,80.92,1.2,12,-1.1,-3.2,6.2,0,0,7.1,0
20120321,5.6,6.7,1.5,980.55,77.17,1.7,15.1,-2.8,-4,7.2,0,0,8.317,0
20120322,8.9,7.6,0,975.85,69.67,3.1,17,-0.9,-4.3,10.9,0,0,11.517,0
20120323,8.5,8.1,1.3,972.44,75.38,1.1,17.5,-0.8,-2.8,4.9,0,0,10.7,0
20120324,8.6,8.7,5.2,972.22,79.79,1.9,16.6,2.4,0.3,8.9,0.8,8,6.617,0
20120325,8.7,8.1,1.5,975.4,75.75,1.3,17.7,-0.2,-1.6,5.5,0,0,9.783,0
20120326,7.8,6.6,0.5,977.93,66.79,1.4,16.6,-1.5,-4.2,7.5,0,0,11.95,0
20120327,8,6,3.9,977.63,62.13,1.8,16.4,-2.1,-4.6,6.7,0,0,11.717,0
20120328,10.4,7.7,3.1,974.09,63.79,2,19.2,0.2,-1.7,7.1,0,0,10.933,0
20120329,10.2,7.2,5.3,966.52,60.58,5.9,16,2.4,0.2,16.6,0,6,4.033,0
20120330,8.4,8.3,7.9,963.65,75.54,6.1,9.5,6.3,5.6,13.9,0.1,6,0,0
20120331,7.9,7.5,7.5,958.7,70.71,6,11.4,2.5,2.2,15.2,0,6,0.85,0
20120401,3.4,3.9,2.7,962.8,52.83,1.6,9.1,-3.4,-6.4,6.8,0,0,11.867,0
20120402,5.8,4.9,2.8,957.64,57.21,1.6,14.7,-4.1,-6.5,6.5,0,6,12.367,0
20120403,10.5,8.7,5.8,952.75,70.29,2.7,18.8,1.1,-1.6,11.3,0.6,6,4.317,0
20120404,11.7,9.7,6.8,955.2,72.17,2.4,17.1,5,2.4,6.7,2.1,6,6.75,0
20120405,8.5,10.2,7.8,957.72,91.71,2.6,10.3,5.9,6.1,7.6,5.5,6,0,0
20120406,6.2,8.8,7.9,957.06,92.42,2.1,7.7,5.1,5.1,5.4,7.3,6,0,0
20120407,5.4,7.7,7.7,952.78,85.25,2.2,7.5,2.5,2,8.6,2.8,8,0,0
20120408,1,4.6,7,959.36,71.75,2.9,3.3,-1.5,-5.2,8.7,0,7,1.65,1
20120409,4,5.9,6,958.02,71.92,3.5,9.3,-3.3,-6.4,10.1,0,6,5.117,0
20120410,11.5,8,6.3,949.02,60.54,2.8,18.9,2.5,1.2,11.6,0,6,7.517,0
20120411,7.2,8.5,7.7,948.44,84.46,3.6,11.4,4.1,2,12.5,4.7,6,1.183,0
20120412,8.3,7.5,6.4,951.2,70.79,3.1,13.9,2.9,1.8,9.2,1.1,6,7.433,0
20120413,7.5,8.3,8,952.04,80.42,1.6,10.3,5.1,4.4,4.8,0.6,6,0,0
20120414,8.3,8.4,7.4,948.73,76.92,2.8,11.5,6,3.2,10,0.2,6,0.383,0
20120415,7.3,9.2,8,950.38,89.67,2.6,9.2,6.1,5.7,9.8,7.6,6,0,0
20120416,5,7.6,8,960.55,86.92,3.1,7.3,3,2.4,9.4,4.2,6,0,0
20120417,5.1,6.3,6.6,958.98,73.71,1.9,8.9,1.3,-0.5,5.7,0,8,4.017,0
20120418,5.8,7.3,7.3,947.62,79.83,1.7,11.1,-1.6,-3.3,6.8,0.4,6,1.4,0
20120419,9.7,7.6,5.6,942.32,65.79,1.9,15.2,3,1.6,10.5,3.1,6,11.233,0
20120420,8.5,8.7,7.3,947.03,78.92,4.1,12,6,4.7,13.7,0.3,6,1.483,0
20120421,9.8,7.2,5.9,952.21,62.75,3.6,15.6,2.9,0.2,13.7,0.5,6,10.217,0
20120422,6.5,7.8,6.2,957.3,80.92,4.4,9.4,0.7,-2.1,11.8,1.3,8,1.85,0
20120423,7.4,6.9,5.7,953.87,69.04,1.8,13.4,-2,-3.4,7.7,0,0,8.983,0
20120424,6.4,8,6.3,948.95,83.38,4.3,9.9,3.3,1.5,14.1,2.8,6,0.933,0
20120425,11.1,7.7,3.5,954.31,60.63,4.1,18.1,4.3,2.4,12,0,0,12.483,0
20120426,14.5,9.3,3,956.99,60.83,1.4,23.8,2.1,-0.1,5.1,0,0,13.433,0
20120427,17.3,10.8,2.3,963.6,59.17,2.3,26.7,5.3,2.2,7.2,0,0,13.2,0
20120428,20.2,9.6,2.2,961.63,48.75,3.3,30.3,6.1,3.5,11.1,0,0,13.283,0
20120429,20.7,8.4,7,957.08,35,4.7,24.3,12.8,10.6,12.5,0,0,1.45,0
20120430,17.8,11.4,4.3,961.19,58.04,3.2,25,9.2,7.2,11.5,0,0,12.933,0
20120501,16.2,11.7,3,962.7,65.5,2.2,22.8,6.6,4.3,8.9,0.1,6,11.267,0
20120502,18.1,12.4,5.5,959.91,63.75,2.6,25.6,9.1,6.8,11.2,7,6,10.85,0
20120503,13.9,11.7,5.9,960.51,75.46,2.4,18.8,8.2,6.2,9.4,0,0,4.017,0
20120504,14.8,10.3,2.3,954.92,65.13,1.7,21.4,8,5.9,7,0.8,6,12.85,0
20120505,12.2,10.9,6.8,954.09,77.21,3.4,17.2,7.1,5.9,11.4,0.1,6,3.383,0
20120506,9.4,10.7,6.9,958.58,90.5,2.6,12,5.1,3.5,8.4,5.4,6,0.133,0
20120507,11.2,10.3,4.4,964.73,79.42,1.9,17.4,5,3.2,9.9,0,6,6.717,0
20120508,14.1,10,4.3,964.08,66.38,1.4,21.8,2.5,1.2,6.8,0,6,12.383,0
20120509,16.3,13.1,6.6,966.2,71.54,2.7,21.7,10.8,8.8,10.1,0.3,6,3.5,0
20120510,18.8,13.4,4.8,970.68,65.5,1.5,26.9,8.7,6.4,6,0,0,13.817,0
20120511,21.2,14,4.8,970.5,60.42,1.3,29.9,10.4,8.5,6.7,11.3,6,13.733,0
20120512,12.5,12.5,7.1,974.93,84.25,2.9,18.3,8.4,8,10.9,3.4,6,0,0
20120513,8.5,6.8,4.3,974.21,62.92,2.4,13.2,3.2,1.7,7.4,0,0,6.783,0
20120514,7.3,6.3,0.8,967.21,64.58,1.9,13.5,-0.8,-2.4,6.7,0,0,13.7,0
20120515,8.4,7.9,4.2,959.27,74.58,3.1,18.4,-0.6,-2,21.2,5.2,6,9.617,0
20120516,6.3,7.7,6.1,966.13,80.67,4.9,10.7,2.4,0.8,15.2,2.2,8,4,0
20120517,7.3,6.4,2.7,969,66.08,2.1,13.1,0.7,-1.2,6.5,0,0,12.5,0
20120518,11.1,8.7,5.7,961.07,66.13,2.8,18.4,3.2,1.4,8.5,0.3,6,6.667,0
20120519,16.9,11.2,4.5,959.74,62.17,3,23.8,7.2,5.3,10.8,0,0,12.8,0
20120520,18.4,11.8,4.8,953.98,58.71,2.4,26.1,7.2,5.1,7.9,0,6,9.483,0
