Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N
20121122,8.1,9,3.2,1016.97,83.42,5.1,10.5,3.8,1.2,11.7,0,6,6.017,0
20121123,5.6,8.3,5.5,1015.01,89.96,3.8,7.9,3.2,0.2,9.1,2.2,6,0.75,0
20121124,3.4,7.8,7.6,1017.78,99.63,2.1,4.5,0.1,-1,7.6,1.3,6,0,0
20121125,8.1,8.8,6.8,1005.5,81.83,7.3,12.1,4.2,3.9,16.9,1,6,0.55,0
20121126,7.8,8.6,6.2,1004.43,81.5,4.9,9.9,6,4.6,13.4,2,6,5.15,0
20121127,7.2,9.2,7.1,1002.47,90.5,2.5,9.2,4.4,1.5,6.8,0,6,0.3,0
20121128,4.6,8.2,7.6,1003.74,96.63,1.5,5.4,2.9,1.1,7,0.4,6,0,0
20121129,3,6.9,7.3,1000.64,90.63,3.8,4.4,1.5,0.1,9.6,0.6,6,0,0
20121130,0.5,5.5,4.4,1005.4,87.96,2.6,2.7,-1.8,-4.2,6.8,1.7,8,6.55,0
20121201,3,7,7.7,1007.13,92.29,3.9,4.5,0.9,0.1,10,0.5,8,0,0
20121202,1.5,6.1,7.8,1007.21,89.04,2.8,2.8,-1.9,-4.6,7,0,8,0,0
20121203,0,5.5,5.9,1006.06,90,3.9,2.7,-3.1,-5.7,10,2.5,8,1.517,0
20121204,3,7,7.4,990.75,92,5.8,5.3,-2.1,-2.7,12.9,5.3,8,0,0
20121205,-2.8,4.2,5.8,998.1,83.92,3.6,0.4,-4.8,-6.9,8.5,1,7,2.267,0
20121206,-3.7,4.2,3.1,1006.81,88.96,3.4,0.1,-7,-13.4,9.6,0,0,5.35,4
20121207,-3.6,4.1,2.7,1007.8,88.29,3.7,-1.2,-9,-14.9,8.4,0,0,5.7,3
20121208,-6.3,3.7,5.7,1018.01,95.71,1.3,-2.1,-12.1,-16.7,3.9,2.8,7,0,3
20121209,0.9,6.4,7.7,1004.02,97.17,5,3.5,-2.1,-2.3,12.4,7.8,8,0.233,8
20121210,0.7,6.2,8,1006.29,95.96,3.5,1.7,-0.3,-0.9,11.2,3.2,8,0,7
20121211,-3.9,4,3.5,1020.4,86.17,3.5,-0.1,-10.5,-16,9.9,0,7,2.767,6
20121212,-4.9,4.1,6.5,1017.52,95,1.9,-2.6,-9.6,-11.6,5.8,0,7,1.683,5
20121213,-2.1,4.9,6.1,1011.45,92.71,3.3,-0.5,-4.4,-6.7,8.6,0,7,1.283,5
20121214,-2.5,4.7,7.3,1002.63,91.25,5.3,1.1,-5.4,-7.3,14,7.5,6,0,5
20121215,4.1,7.7,6.3,996.38,93.46,4.2,7.6,1,0.4,11.1,1.1,6,2.267,2
20121216,5.6,8.6,7.5,1001.03,95.08,3.1,7.2,3.9,2.5,5.7,0.4,6,0,0
20121217,5,8.4,7.5,1003.34,95.96,2.5,5.9,3.5,2.8,5,4.8,6,0.017,0
20121218,3.6,7.7,8,1011.13,96.58,2,4.2,3.1,2.9,5,4.7,6,0,0
20121219,2.9,7.1,8,1022.57,94.25,2.8,4,2,1.7,6.1,0.2,6,0,0
20121220,1.9,6.5,8,1020,92.5,5,2.5,1.2,0.6,11.1,0,6,0,0
20121221,-0.9,4.7,7.9,1014.83,81.25,5.7,1.3,-3.4,-3.3,12.4,0,7,0,0
20121222,-2.6,4.7,8,1014.81,92.75,4.7,-1.2,-3.7,-3.5,9.4,1.7,8,0,0
20121223,1.4,6.6,7.6,1002.8,96.08,4.6,7.2,-1.2,-1.4,11.8,9.9,8,0,1
20121224,7.3,9.4,6.7,1000.88,92.21,4.5,12.2,4.7,2.5,14.8,3.1,6,0,0
20121225,7.6,9.3,7.4,994.68,89.33,4.2,12,5.7,4.4,16.2,10,6,0,0
20121226,6.8,8.5,6.8,999.94,86.08,5.9,8.3,5.1,3.7,12.9,5.6,6,0.833,0
20121227,5.6,7.9,5.8,999.06,84.83,5.7,8.1,-2.2,-4.2,16.1,1.7,6,0.033,0
20121228,-0.9,4.7,5.1,1020.55,81.67,3.5,5.2,-6.1,-8.9,9.1,1,6,4.083,0
20121229,8.7,9.5,6.8,1010.81,84.38,6.4,10.8,5.2,4.3,13.2,0.4,6,1.45,0
20121230,7.1,8.2,5.9,1006.12,81.17,7,10.7,4.7,3.5,15.3,2.9,6,1.05,0
20121231,8.6,9,7.9,1004.82,81.08,8.6,10,6.2,5.4,17.2,1.6,6,0,0
20130101,7.1,9.1,6.9,999.35,90.25,5.3,9.3,3.9,2.2,14.7,6.3,6,0,0
20130102,5.6,8,6.5,1014.12,88.08,4.9,7.3,3.8,2.2,11.4,2.6,6,1.567,0
20130103,8,9.9,7.2,1020.63,92.33,6.3,9.8,5.8,4.7,13.5,1.7,6,0,0
20130104,8,10,7.6,1025.27,92.71,6.6,9.6,5.8,4.6,16.3,5.2,6,0,0
20130105,7.1,9.8,7.9,1026.69,97.21,4.2,7.8,5.7,5.4,9.5,0.9,6,0,0
20130106,6.9,9.5,7.9,1023.3,95.83,4.5,8,5.8,5.3,10.4,1.1,6,0,0
20130107,6,8.9,7.9,1024.56,94.42,2.5,7.4,5.3,4.8,6.1,1.9,6,0,0
20130108,7.1,9.8,7.9,1019.88,96.46,2.6,7.6,6.6,6.2,7,5.2,6,0,0
20130109,6.9,9.5,7.7,1013.88,95.38,4,7.8,5,3.8,9.6,6.3,6,0,0
20130110,2.7,6.4,7.5,1008,85.96,4.1,5.3,-0.7,-2.5,9.9,4.2,8,0.05,0
20130111,-0.6,4.9,6,1013.7,83.33,3.5,0.3,-2.8,-5,7.1,0,7,0,1
20130112,-2,4.6,5.5,1018.15,87.04,1.6,0.6,-5.4,-6.7,4.5,0.1,7,2.833,1
20130113,-1.9,4.6,6.4,1019.55,86.88,2.5,-0.1,-4.4,-6.3,6.8,0.1,7,0.65,0
20130114,-4,4,7.8,1013.49,88,3.1,-3.1,-5.7,-9.8,6.8,0.1,7,0,1
20130115,-5.8,3.6,4.7,1008.66,90.71,1.8,-3.4,-9.7,-14.8,5.2,0,0,2.65,2
20130116,-5.4,3.8,7.8,1011.1,92.38,2.2,-2.8,-6.9,-7.8,4.7,0,7,0,2
20130117,-1.7,4.7,7.3,1016.84,86.42,2.4,-0.7,-3.4,-4.2,6,0.1,7,0.267,2
20130118,-1.2,4.7,7.8,1012.95,84,3.9,-0.3,-3,-4,12,0,7,0,2
20130119,-4.7,3.4,4.8,1004.6,77.63,5.2,-2.9,-7.2,-9.3,12.2,0,0,0.35,2
20130120,-3.7,3.9,6.2,1002.15,82.04,4.2,-1.1,-7.6,-9.1,10.8,0,0,0.367,1
20130121,-2.7,3.6,7.2,1003.15,71.04,6.8,-1.2,-4.4,-5,13.7,0.3,7,0.433,1
20130122,-4.9,3.6,7.4,1007.7,85.92,3.6,-4.1,-5.9,-8.8,9,0,7,0,2
20130123,-4.1,3.9,5.6,1010.15,86.54,2.1,0.1,-11.3,-15,7.1,0,7,4.017,3
20130124,-1.9,4.6,7,1014.45,86.67,2.6,-0.4,-4.2,-7.2,6.5,0,7,0,3
