Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N
20121116,5.1,8,8,1005.29,90.54,1.3,6,4.1,4.5,3.5,0,6,0,0
20121117,4.3,7.9,7.9,1000.19,94.88,1.7,6.7,2.5,1.7,4.5,0,0,0.433,0
20121118,4.5,8.1,6.2,999.39,95.71,1.3,10.5,0.3,-0.8,4.3,0,0,5.267,0
20121119,3.9,8,6.8,1003.49,98.92,1.9,5.7,0.8,-0.4,4.9,0,6,0,0
20121120,3.8,7.7,8,1005.8,96.33,2.1,4.7,2.1,2.5,5,0,6,0,0
20121121,4,7.5,7.9,1004.46,91.92,1.8,7,3,2.3,5.8,0,6,0,0
20121122,6.5,8.8,4.7,1009.19,91.17,1.6,12.8,0.7,0.1,5.1,0,0,4.067,0
20121123,5.1,8.8,8,1006.21,99.13,1.1,7.9,3.5,3.5,4.4,0,0,0,0
20121124,6.8,9.2,7.6,1003.49,93,1.2,11.8,1.8,0.6,2.9,0,0,0.25,0
20121125,8.5,8.7,5.8,1001.07,79.42,3.3,14.6,0.2,-1.1,16.6,0.4,6,0.483,0
20121126,6.9,9.6,8,995.27,95.67,2,10.1,0.6,0.2,8.6,7.4,6,0,0
20121127,7.3,9.5,8,992.38,93.08,2.2,8.7,5.9,5.4,7.3,1,6,0,0
20121128,6.6,9.3,7.9,987.73,95.67,4.1,7.3,5.9,5.3,11.5,18.5,6,0,0
20121129,4.4,6.9,7.8,987.49,82.83,4.2,6,2.3,1.9,14,1.2,6,0,0
20121130,2.4,5.9,6,995.17,82.79,1.5,5.5,-2.6,-4.2,4.3,0,8,4.083,0
20121201,-1.3,5.1,4.6,1000.38,91.71,1.4,3.2,-5,-6.1,8.4,0.8,7,4.467,0
20121202,0.9,6,7.8,999.67,91.83,6,2,-0.6,-0.6,11.9,0.1,8,0.15,1
20121203,2.3,6.2,7.1,1000.18,85.88,6.2,5.7,0.2,-0.9,13,4.1,8,0.883,0
20121204,4.2,7.5,7.8,988.94,91.46,5.5,5.8,2.6,2.4,11.8,10.8,6,0.533,0
20121205,3.7,6.8,7.7,990.15,85.42,4.9,5,1.7,0.5,11.1,0.2,6,0.133,0
20121206,1,5.3,5.7,1000.69,81.08,3.7,2.9,-2.6,-4.5,8.9,0,7,2.533,0
20121207,-1.8,5.1,7.8,993.44,94.25,1.4,-0.4,-4.1,-5.7,5.6,3,8,0,0
