Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N
20121111,9.3,10,7.9,972.78,84.46,2.8,11.4,6.4,3.8,7.2,0,6,0,0
20121112,4.9,7.2,4.4,986.3,82.75,3.1,8.1,0.2,-3,6.1,0,0,0.967,0
20121113,3,6.1,0.7,993.07,80.96,2.7,8.9,-0.7,-4.8,5.4,0,0,7.983,0
20121114,-1.5,5.3,4.6,991.17,96.21,1.8,2.1,-3.5,-6.6,3.7,0,6,3.517,0
20121115,-1.7,5.3,8,985.36,98.25,1.5,0.2,-3.5,-2.9,3.7,0,6,0,0
20121116,-0.3,5.6,7.6,981,94.5,1.3,1.5,-1.8,-4.5,3.9,0,0,0,0
20121117,-0.1,5.4,1.4,974.84,89.46,2.2,5.3,-5.2,-7.7,4.6,0,0,7.55,0
20121118,4.4,7.6,7.8,974.9,90.5,1.9,5.9,1.7,1.1,4.3,0.9,6,0.033,0
20121119,5.4,8.6,6.8,980.41,95.13,1.6,7.4,2.3,-0.4,5.1,0,6,0.067,0
20121120,1.7,6.8,7.6,981.59,98.42,1.7,3.7,-1,-0.7,4.6,0,6,0,0
20121121,4.2,7.1,3.5,979.09,86.63,3.2,9.1,0.9,-2.3,11.8,0,0,7,0
20121122,5.5,7.3,3.8,984.2,80.83,4,9.7,1,-1.6,10.6,0,0,7.383,0
20121123,4.1,7.1,4.8,981.46,86.29,4.1,7.1,-0.4,-2.9,7.4,0,6,2.45,0
20121124,6.8,8.5,7.7,980.12,86.08,2.6,9.1,5.3,2.9,6.6,0,6,0.2,0
20121125,9.1,7.7,4.9,974.3,66.96,7.2,13.1,3.3,1.4,17.4,0,0,0.767,0
20121126,7.2,8.4,6.5,971.07,81.13,4.2,10.6,2.9,-0.1,8.8,1.1,6,0,0
20121127,7.2,8.5,7.8,967.85,83.88,2.4,8.3,5.6,4.3,7.4,5.1,6,0,0
20121128,4.8,8.3,8,965.2,96.54,3.1,5.6,3.5,3.5,9,17.6,6,0,0
20121129,1.5,6.5,8,960.48,95,6.1,3.7,0.2,0,12.5,10.3,8,0,0
20121130,0,5.3,6.1,968.95,85.83,3.9,1,-4.6,-7.8,10.5,0,7,0,0
20121201,-1.7,4.6,5.5,973.86,84.33,4.8,1.4,-4.8,-7.8,8.8,0,0,0.483,0
20121202,-0.7,5.1,7.3,970.45,87.46,5.4,0.4,-2.2,-3,9.9,0.8,7,0.233,0
20121203,-0.5,5,6.5,972.12,84.58,5.2,1.1,-4,-10.2,13,0.1,7,4.133,1
