STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     1262;19920517;  10;   15.6;   9.7;   2.3;  973.50;   53.00;-999;   22.2;   13.5;   13.0;-999;   0.0;   0;   10.600;   0;eor
     1262;19920518;  10;   13.4;   9.0;   2.7;  970.90;   58.00;-999;   19.1;    6.4;    5.9;-999;   0.0;   0;   12.300;   0;eor
     1262;19920519;  10;   13.2;   9.5;   1.0;  971.20;   62.00;  -999;   18.2;    6.4;    6.4;  14.8;   0.0;   0;   11.700;   0;eor
     1262;19920520;  10;   14.9;   8.7;   0.7;  967.80;   50.00;   7.8;   20.3;    9.7;    9.3;  18.2;   0.0;   0;   13.100;   0;eor
     1262;19920521;  10;   12.4;   9.5;   2.7;  965.70;   63.00;   3.2;   20.5;    7.7;    7.0;  10.0;   0.0;   6;    8.700;   0;eor
     1262;19920522;  10;   16.1;   9.0;   5.0;  964.10;   52.00;   2.7;   22.0;    4.5;    4.3;   8.7;   0.0;   0;   13.300;   0;eor
     1262;19920523;  10;   17.9;  11.4;   3.0;  961.20;   55.00;   4.9;   24.5;   10.1;   10.0;  13.4;   0.0;   0;   10.900;   0;eor
     1262;19920524;  10;   15.5;  12.1;   4.3;  962.50;   67.00;   2.3;   23.5;   10.4;   10.6;  16.1;   0.4;   6;    6.400;   0;eor
     1262;19920525;  10;   17.9;  12.6;   2.0;  965.20;   61.00;   1.9;   24.7;    8.1;    7.5;   8.3;   0.0;   0;   13.300;   0;eor
     1262;19920526;  10;   17.4;   9.0;   2.0;  962.90;   46.00;  -999;   23.1;    8.3;    8.1;  11.7;   0.0;   0;   12.100;   0;eor
