STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      430;19630101;   5;  -12.4;   1.8;   3.7; 1018.60;   75.00;-999;   -8.6;  -13.8;  -14.6;-999;   0.0;   0;     -999;   3;eor
      430;19630102;   5;  -10.2;   2.0;   5.3; 1015.10;   70.00;-999;   -8.8;  -13.6;  -16.6;-999;   0.0;   0;     -999;   2;eor
      430;19630103;   5;   -7.2;   2.9;   7.7; 1007.20;   83.00;-999;   -5.9;   -9.5;  -10.0;-999;   0.0;   7;     -999;   2;eor
      430;19630104;   5;   -2.6;   4.3;   8.0;  996.10;   90.00;-999;    0.0;   -7.1;   -8.2;-999;   0.0;   7;     -999;   2;eor
      430;19630105;   5;    1.7;   5.8;   7.0;  995.90;   82.00;-999;    3.4;    0.0;   -2.4;-999;   1.3;   8;     -999;   3;eor
      430;19630106;   5;   -2.6;   4.7;   7.3;  999.40;   87.00;-999;    0.8;   -4.6;   -6.8;-999;   0.0;   0;     -999;   2;eor
      430;19630107;   5;   -4.0;   3.8;   4.3; 1012.10;   78.00;-999;   -0.8;   -7.0;   -9.0;-999;   0.1;   8;     -999;   1;eor
      430;19630108;   5;   -9.6;   2.6;   5.7; 1017.50;   85.00;-999;   -5.8;  -11.2;  -13.4;-999;   0.0;   7;     -999;   1;eor
      430;19630109;   5;   -9.9;   2.5;   7.7; 1018.80;   85.00;-999;   -6.8;  -15.3;  -20.0;-999;   0.0;   0;     -999;   1;eor
      430;19630110;   5;  -15.3;   1.9;   2.7; 1018.50;   85.00;-999;   -9.2;  -19.2;  -14.6;-999;   0.3;   7;     -999;   2;eor
      430;19630111;   5;  -11.5;   2.2;   6.0; 1020.40;   88.00;-999;   -9.8;  -20.7;  -25.3;-999;   0.3;   7;     -999;   5;eor
      430;19630112;   5;  -13.9;   2.0;   4.0; 1023.80;   87.00;-999;   -8.0;  -19.2;  -13.8;-999;   0.1;   7;     -999;   5;eor
      430;19630113;   5;  -10.6;   2.4;   7.7; 1018.50;   85.00;-999;   -8.8;  -17.2;  -21.4;-999;   0.0;   7;     -999;   5;eor
