STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     4177;19480101;   5;    3.4;   6.5;   8.0; 1005.80;   86.00;-999;    4.7;    0.3;   -0.2;-999;   4.9;   8;    0.000;   0;eor
     4177;19480102;   5;   10.2;  10.7;   7.7; 1002.80;   87.00;-999;   11.2;    4.2;    3.3;-999;   6.7;   1;    0.000;   0;eor
     4177;19480103;   5;   11.5;  12.5;   8.0; 1005.40;   93.00;-999;   12.2;   10.5;    9.8;-999;   0.3;   1;    0.000;   0;eor
     4177;19480104;   5;    8.3;   9.1;   4.7; 1000.20;   79.00;-999;   12.9;    5.7;    3.3;-999;   0.0;   0;    5.600;   0;eor
     4177;19480105;   5;   10.3;   8.4;   6.7;  989.00;   63.00;-999;   13.8;    2.4;    1.7;-999;   1.9;   1;    0.900;   0;eor
     4177;19480106;   5;    3.9;   5.3;   5.0;  992.20;   69.00;-999;   10.7;    1.4;   -0.2;-999;   3.9;   1;    4.600;   0;eor
     4177;19480107;   5;   11.5;  10.8;   6.0;  973.60;   79.00;-999;   12.2;    3.2;    2.7;-999;   2.5;   1;    0.000;   0;eor
     4177;19480108;   5;    5.0;   6.7;   6.7;  985.80;   75.00;-999;   11.6;    3.3;    2.7;-999;   1.0;   1;    1.700;   0;eor
     4177;19480109;   5;    3.2;   5.5;   4.7;  995.10;   70.00;-999;   11.3;    1.0;   -0.3;-999;   0.5;   1;    6.900;   0;eor
     4177;19480110;   5;    6.8;   7.5;   8.0;  997.00;   73.00;-999;    9.1;    1.0;    0.4;-999;   0.0;   1;    0.000;   0;eor
     4177;19480111;   5;    3.5;   6.8;   5.3;  998.00;   85.00;-999;    9.0;    0.9;   -1.0;-999;   0.0;   0;    1.500;   0;eor
     4177;19480112;   5;    8.5;   9.3;   6.7;  999.60;   84.00;-999;   10.2;    0.4;   -0.5;-999;  10.3;   1;    1.500;   0;eor
     4177;19480113;   5;   11.0;  10.9;   8.0; 1000.20;   84.00;-999;   12.2;    7.8;    6.5;-999;   7.8;   1;    0.000;   0;eor
     4177;19480114;   5;    5.9;   9.3;   8.0;  996.70;   96.00;-999;   12.8;    4.0;    3.7;-999;  50.1;   1;    0.000;   0;eor
     4177;19480115;   5;    3.8;   7.5;   6.3;  989.80;   91.00;-999;    5.6;    0.9;    0.0;-999;   1.3;   1;    0.000;   0;eor
     4177;19480116;   5;    3.2;   7.1;   7.0;  991.90;   90.00;-999;    4.4;    1.0;    0.4;-999;   1.0;   1;    0.900;   0;eor
     4177;19480117;   5;    2.9;   5.9;   7.3;  996.30;   79.00;-999;    3.2;    1.6;    1.0;-999;   0.3;   8;    0.000;   0;eor
     4177;19480118;   5;    3.5;   6.7;   6.3;  987.20;   85.00;-999;    5.6;    1.5;    0.3;-999;   5.2;   1;    2.000;   0;eor
     4177;19480119;   5;    4.1;   6.3;   5.3;  980.70;   77.00;-999;    6.6;    1.8;    1.0;-999;   0.3;   1;    5.400;   0;eor
     4177;19480120;   5;    0.6;   5.3;   4.0;  984.30;   79.00;-999;    4.4;   -2.6;   -3.2;-999;   0.0;   1;    3.900;   0;eor
     4177;19480121;   5;   -0.1;   4.7;   7.3;  991.00;   78.00;-999;    2.2;   -3.5;   -3.5;-999;   0.0;   1;    1.200;   0;eor
     4177;19480122;   5;    2.7;   6.4;   7.7;  987.50;   87.00;-999;    4.3;   -0.9;   -1.3;-999;   3.4;   8;    0.000;   0;eor
     4177;19480123;   5;    2.2;   6.3;   7.3;  988.30;   89.00;-999;    4.3;   -1.9;   -2.0;-999;   3.7;   1;    1.400;   0;eor
     4177;19480124;   5;    3.6;   7.6;   8.0;  990.40;   95.00;-999;    5.0;    1.7;    1.2;-999;   0.7;   1;    0.000;   0;eor
     4177;19480125;   5;    2.8;   7.1;   8.0;  990.40;   94.00;-999;    3.5;    1.9;    1.7;-999;   0.0;   1;    0.000;   0;eor
     4177;19480126;   5;    1.8;   6.5;   8.0;  985.50;   94.00;-999;    3.2;    0.9;    0.9;-999;   3.5;   1;    1.000;   0;eor
     4177;19480127;   5;    4.4;   8.0;   7.3;  980.80;   94.00;-999;    6.7;    1.7;    1.5;-999;   5.4;   1;    4.900;   0;eor
     4177;19480128;   5;    5.1;   7.6;   7.0;  989.00;   82.00;-999;    9.3;    1.7;    0.3;-999;   1.1;   1;    2.700;   0;eor
     4177;19480129;   5;    8.6;   8.3;   5.3;  987.90;   74.00;-999;   12.8;    2.0;    0.5;-999;   1.6;   1;    4.100;   0;eor
     4177;19480130;   5;   10.8;   8.7;   7.3;  999.80;   69.00;-999;   12.4;    4.3;    3.3;-999;   4.4;   1;    2.600;   0;eor
     4177;19480131;   5;   12.0;  11.3;   7.7; 1002.20;   78.00;-999;   14.8;    9.8;    9.7;-999;  10.9;   1;    0.000;   0;eor
     4177;19480201;   5;    8.8;   8.4;   6.0; 1016.30;   74.00;-999;   10.4;    7.5;    6.2;-999;   0.0;   1;    1.800;   0;eor
     4177;19480202;   5;    8.0;   7.5;   6.3; 1012.60;   75.00;-999;   11.0;    0.3;   -1.0;-999;   0.6;   1;    0.700;   0;eor
     4177;19480203;   5;   12.4;  11.2;   7.3; 1002.70;   78.00;-999;   13.8;    9.1;    8.1;-999;  10.7;   1;    0.800;   0;eor
     4177;19480204;   5;    5.7;   7.5;   4.3; 1005.10;   80.00;-999;   14.0;    4.1;    3.0;-999;   2.1;   1;    2.700;   0;eor
     4177;19480205;   5;    6.0;   7.3;   7.3; 1007.10;   78.00;-999;    9.2;    3.7;    2.4;-999;   0.0;   0;    0.000;   0;eor
     4177;19480206;   5;    6.4;   7.3;   6.0; 1001.10;   76.00;-999;    7.9;    5.3;    2.7;-999;   0.2;   1;    0.200;   0;eor
     4177;19480207;   5;    5.8;   7.6;   6.7; 1010.00;   85.00;-999;    7.6;    1.7;    0.6;-999;   3.9;   1;    0.700;   0;eor
     4177;19480208;   5;    8.6;  10.7;   8.0; 1006.30;   96.00;-999;    9.3;    7.5;    6.4;-999;   3.1;   1;    0.000;   0;eor
     4177;19480209;   5;    9.2;   8.8;   7.3; 1004.60;   75.00;-999;   11.9;    7.7;    7.2;-999;   0.3;   1;    1.400;   0;eor
     4177;19480210;   5;    7.2;   7.7;   6.7; 1005.60;   77.00;-999;    8.4;    5.7;    5.3;-999;   0.9;   1;    0.400;   0;eor
     4177;19480211;   5;    8.2;   8.9;   7.3; 1004.00;   81.00;-999;   10.2;    6.6;    6.1;-999;   0.0;   0;    0.400;   0;eor
     4177;19480212;   5;    5.5;   8.4;   7.3; 1004.40;   89.00;-999;    8.4;    3.9;    2.7;-999;   3.6;   1;    0.000;   0;eor
     4177;19480213;   5;    4.3;   6.8;   6.0; 1012.00;   83.00;-999;    7.0;    0.0;   -1.5;-999;   3.5;   1;    0.400;   0;eor
     4177;19480214;   5;    6.8;   9.6;   8.0; 1011.50;   98.00;-999;    7.8;    4.1;    3.3;-999;   0.6;   1;    0.000;   0;eor
     4177;19480215;   5;    8.0;   9.6;   7.0; 1005.20;   90.00;-999;    9.1;    6.6;    6.0;-999;   1.3;   1;    0.000;   0;eor
     4177;19480216;   5;    2.2;   4.5;   6.7; 1012.40;   61.00;-999;    7.9;   -0.8;   -0.6;-999;   0.0;   1;    3.100;   0;eor
     4177;19480217;   5;   -1.5;   4.0;   5.0; 1013.90;   72.00;-999;    4.8;   -2.9;   -3.5;-999;   0.0;   0;    5.300;   0;eor
     4177;19480218;   5;   -2.6;   3.2;   3.7; 1012.60;   63.00;-999;    0.5;   -4.0;   -5.0;-999;   0.0;   0;    4.400;   0;eor
     4177;19480219;   5;   -6.1;   2.3;   2.3; 1006.60;   59.00;-999;   -1.4;   -8.8;   -9.2;-999;   0.0;   0;    5.800;   0;eor
     4177;19480220;   5;   -7.0;   2.3;   3.7; 1004.00;   64.00;-999;   -2.4;  -10.3;  -10.9;-999;   0.3;   7;    3.000;   0;eor
     4177;19480221;   5;   -3.2;   3.5;   5.0; 1001.00;   72.00;-999;    0.6;   -7.5;   -8.0;-999;   0.0;   0;    2.400;   1;eor
     4177;19480222;   5;   -3.2;   3.9;   8.0;  993.00;   79.00;-999;   -1.2;   -5.8;   -8.0;-999;   3.0;   7;    0.000;   0;eor
     4177;19480223;   5;   -3.8;   4.0;   8.0; 1001.60;   89.00;-999;   -2.8;   -5.7;   -7.0;-999;   3.5;   7;    0.000;   7;eor
     4177;19480224;   5;   -3.5;   3.5;   2.0; 1010.70;   73.00;-999;   -0.5;   -6.5;   -8.1;-999;   0.0;   0;    6.900;  11;eor
     4177;19480225;   5;   -4.2;   3.1;   0.0; 1011.90;   71.00;-999;    0.6;  -12.4;  -17.0;-999;   0.0;   0;    8.200;   9;eor
     4177;19480226;   5;   -0.7;   2.9;   0.0; 1010.60;   54.00;-999;    3.6;   -7.7;  -10.2;-999;   0.0;   0;    9.600;   6;eor
     4177;19480227;   5;   -0.2;   3.5;   0.0; 1011.60;   56.00;-999;    6.7;   -5.2;   -8.7;-999;   0.0;   0;    9.800;   3;eor
