STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     3126;19470101;   5;   -6.2;   3.5;   0.0; 1009.20;   87.00;-999;   -2.0;   -8.1;   -9.9;-999;   0.0;   0;     -999;   0;eor
     3126;19470102;   5;   -3.8;   3.9;   7.8; 1013.00;   87.00;-999;   -2.3;   -8.0;  -11.4;-999;   0.4;   7;     -999;   0;eor
     3126;19470103;   5;   -4.1;   3.7;   7.8; 1021.80;   80.00;-999;   -2.0;   -5.5;   -6.2;-999;   0.0;   0;     -999;   0;eor
     3126;19470104;   5;  -10.0;   2.0;   0.6; 1026.40;   67.00;-999;   -5.2;  -11.7;  -12.6;-999;   0.0;   0;     -999;   0;eor
     3126;19470105;   5;  -14.0;   1.3;   0.0; 1020.80;   68.00;-999;  -11.1;  -16.3;  -17.4;-999;   0.0;   0;     -999;   0;eor
     3126;19470106;   5;  -15.8;   1.3;   0.0; 1015.20;   76.00;-999;  -12.1;  -18.8;  -19.7;-999;   0.0;   0;     -999;   0;eor
     3126;19470107;   5;  -14.7;   1.6;   3.2; 1010.00;   78.00;-999;  -12.3;  -17.4;  -18.6;-999;   0.0;   8;     -999;   0;eor
     3126;19470108;   5;  -14.9;   1.6;   0.0; 1011.60;   81.00;-999;  -11.6;  -18.0;  -19.3;-999;   0.0;   8;     -999;   0;eor
     3126;19470109;   5;   -7.8;   2.9;   8.0; 1006.00;   90.00;-999;   -6.2;  -15.5;  -19.6;-999;   2.7;   7;     -999;   0;eor
     3126;19470110;   5;   -8.1;   2.9;   8.0; 1007.90;   84.00;-999;   -6.2;   -9.2;  -11.6;-999;   1.8;   7;     -999;   3;eor
     3126;19470111;   5;   -9.2;   2.4;   8.0; 1004.40;   78.00;-999;   -7.9;  -11.2;  -10.9;-999;   3.2;   7;     -999;   7;eor
     3126;19470112;   5;    1.0;   5.6;   7.4;  992.00;   88.00;-999;    3.9;   -9.0;  -10.6;-999;   0.0;   0;     -999;   9;eor
     3126;19470113;   5;    3.1;   6.7;   6.4;  991.80;   88.00;-999;    4.4;    0.6;   -5.8;-999;   1.4;   1;     -999;   4;eor
     3126;19470114;   5;    3.0;   6.0;   5.6; 1002.00;   78.00;-999;    4.6;    1.5;   -0.6;-999;   1.6;   1;     -999;   0;eor
     3126;19470115;   5;    5.5;   7.6;   6.2; 1010.60;   83.00;-999;    8.1;    1.5;   -0.4;-999;   0.0;   0;     -999;   0;eor
     3126;19470116;   5;    4.5;   6.9;   0.8; 1014.30;   78.00;-999;   11.2;    0.8;   -1.1;-999;   0.0;   0;     -999;   0;eor
     3126;19470117;   5;    4.8;   7.2;   5.6; 1010.70;   83.00;-999;    7.8;    0.9;   -3.4;-999;   0.0;   1;     -999;   0;eor
     3126;19470118;   5;    3.6;   7.1;   7.0; 1014.80;   89.00;-999;    5.0;    2.0;   -3.7;-999;   2.0;   1;     -999;   0;eor
     3126;19470119;   5;    1.0;   6.0;   3.8; 1013.50;   88.00;-999;    4.0;   -0.2;   -0.9;-999;   0.0;   0;     -999;   0;eor
     3126;19470120;   5;   -2.2;   4.7;   2.4; 1010.70;   92.00;-999;    0.0;   -3.1;   -4.4;-999;   0.0;   8;     -999;   0;eor
     3126;19470121;   5;   -3.0;   4.1;   5.8; 1010.70;   85.00;-999;   -0.4;   -4.3;   -5.9;-999;   0.0;   8;     -999;   0;eor
     3126;19470122;   5;   -3.6;   3.9;   7.8; 1011.50;   83.00;-999;   -2.6;   -5.1;   -6.0;-999;   0.7;   7;     -999;   0;eor
     3126;19470123;   5;   -4.0;   3.9;   6.2; 1015.60;   85.00;-999;   -2.8;   -6.0;   -6.8;-999;   0.1;   7;     -999;   1;eor
     3126;19470124;   5;   -5.6;   3.6;   4.6; 1018.60;   85.00;-999;   -2.8;   -7.5;  -14.0;-999;   0.0;   8;     -999;   1;eor
     3126;19470125;   5;   -5.8;   3.1;   7.8; 1013.00;   79.00;-999;   -4.1;   -8.7;  -11.7;-999;   0.0;   8;     -999;   1;eor
     3126;19470126;   5;   -8.0;   2.7;   7.2; 1007.10;   79.00;-999;   -5.8;   -8.9;  -11.4;-999;   0.0;   8;     -999;   1;eor
     3126;19470127;   5;   -9.6;   2.4;   6.6; 1006.30;   84.00;-999;   -8.3;  -13.8;  -15.1;-999;   4.1;   7;     -999;   1;eor
     3126;19470128;   5;   -9.5;   2.4;   7.4; 1010.60;   78.00;-999;   -7.9;  -10.7;  -13.1;-999;   0.3;   7;     -999;   9;eor
     3126;19470129;   5;  -10.7;   2.1;   0.6; 1012.40;   78.00;-999;   -6.2;  -16.9;  -19.2;-999;   0.0;   0;     -999;  10;eor
     3126;19470130;   5;   -8.6;   2.5;   3.0; 1009.90;   79.00;-999;   -4.5;  -18.5;  -25.3;-999;   0.0;   0;     -999;   7;eor
     3126;19470131;   5;  -10.9;   2.3;   0.0; 1008.00;   81.00;-999;   -6.3;  -14.9;  -22.8;-999;   0.0;   0;     -999;   6;eor
     3126;19470201;   5;  -10.6;   2.0;   0.0; 1007.50;   74.00;-999;   -6.4;  -16.8;  -24.2;-999;   0.0;   0;     -999;   6;eor
     3126;19470202;   5;  -12.0;   2.0;   0.8; 1002.30;   78.00;-999;   -6.7;  -16.1;  -22.9;-999;   0.0;   0;     -999;   5;eor
     3126;19470203;   5;   -8.0;   2.7;   6.6;  992.60;   80.00;-999;   -4.3;  -14.7;  -23.5;-999;   0.0;   0;     -999;   5;eor
