STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     2564;19860601;  10;   12.6;   8.9;   5.7; 1014.10;   61.00;   1.4;   17.5;    6.0;    3.1;   3.6;   0.0;   6;    2.400;   0;eor
     2564;19860602;  10;   14.0;  10.7;   4.0; 1013.90;   66.00;   2.1;   17.7;    7.5;    7.3;   5.7;   0.0;   0;    6.500;   0;eor
     2564;19860603;  10;   14.0;  12.0;   6.7; 1004.10;   76.00;   3.6;   19.0;    6.0;    4.0;   8.2;  10.8;   6;    5.800;   0;eor
     2564;19860604;  10;    8.1;   9.2;   6.7;  995.70;   83.00;   6.0;   13.0;    6.9;    8.3;  14.4;   0.4;   6;    1.600;   0;eor
     2564;19860605;  10;    9.9;   9.2;   7.3;  998.20;   76.00;   4.4;   12.1;    6.9;    6.2;  13.4;  12.7;   6;    0.800;   0;eor
     2564;19860606;  10;   10.2;  11.0;   8.0;  989.70;   88.00;   5.6;   12.7;    7.0;    7.6;  14.4;   3.7;   6;    0.100;   0;eor
     2564;19860607;  10;   10.7;  11.1;   7.3;  997.50;   86.00;   2.9;   12.7;    6.9;    8.5;   7.2;   3.2;   6;    0.000;   0;eor
     2564;19860608;  10;    9.2;   9.2;   5.7; 1009.70;   78.00;   5.3;   11.5;    8.4;    7.9;  13.4;   0.2;   6;    0.400;   0;eor
     2564;19860609;  10;   14.6;  11.0;   5.0; 1015.60;   66.00;   2.9;   19.5;    8.4;    8.5;   7.2;   0.0;   0;    6.900;   0;eor
     2564;19860610;  10;   19.4;  12.5;   1.0; 1013.50;   55.00;   3.6;   23.7;   11.8;    9.1;  11.3;   0.4;   6;   14.500;   0;eor
     2564;19860611;  10;   12.6;  11.9;   7.3; 1013.40;   82.00;   3.4;   23.6;    9.9;   12.0;  10.8;   1.4;   6;    0.800;   0;eor
