STATIONS_ID; MESS_DATUM; QUALITAETS_NIVEAU; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
     1270;19510101;   5;    0.5;   5.5;   6.4;  967.50;   88.00;-999;    2.1;  -16.1;  -18.2;-999;   0.0;   1;    0.000;  24;eor
     1270;19510102;   5;    1.1;   5.1;   6.6;  962.60;   76.00;-999;    3.6;   -2.7;   -4.3;-999;   0.0;   1;    1.300;  18;eor
     1270;19510103;   5;    0.9;   5.3;   8.0;  974.00;   81.00;-999;    2.0;   -1.5;   -3.0;-999;   0.0;   0;    0.000;  18;eor
     1270;19510104;   5;    1.5;   5.1;   5.8;  986.00;   73.00;-999;    2.0;   -0.6;   -1.9;-999;   0.0;   1;    4.300;  18;eor
     1270;19510105;   5;    4.0;   6.7;   5.8;  982.30;   84.00;-999;    5.4;    0.8;   -0.6;-999;   0.6;   1;    0.600;  16;eor
     1270;19510106;   5;    5.6;   6.7;   5.4;  980.30;   73.00;-999;    7.6;    4.2;    2.2;-999;   0.0;   0;    1.100;   0;eor
     1270;19510107;   5;    5.0;   6.0;   7.0;  976.20;   69.00;-999;    6.6;    3.8;   -0.6;-999;   0.1;   1;    1.300;   0;eor
     1270;19510108;   5;    3.6;   6.7;   5.0;  982.80;   82.00;-999;    6.2;    2.5;    2.1;-999;   0.0;   0;    1.100;   0;eor
     1270;19510109;   5;    3.6;   6.1;   4.2;  980.70;   76.00;-999;    5.6;    2.3;   -0.1;-999;   0.0;   1;    1.100;   0;eor
     1270;19510110;   5;    2.9;   4.9;   0.6;  985.80;   67.00;-999;    6.4;   -0.6;   -2.4;-999;   0.0;   0;    6.600;   0;eor
     1270;19510111;   5;    6.0;   6.5;   5.6;  972.60;   70.00;-999;    8.0;    1.5;   -1.2;-999;   0.0;   0;    0.000;   0;eor
     1270;19510112;   5;    5.4;   7.1;   6.2;  967.80;   76.00;-999;    8.2;    3.7;    2.0;-999;   0.0;   0;    0.600;   0;eor
     1270;19510113;   5;    3.7;   6.1;   7.2;  969.50;   77.00;-999;    6.0;    1.6;   -0.4;-999;   0.0;   0;    1.200;   0;eor
     1270;19510114;   5;    4.6;   6.4;   7.4;  978.00;   77.00;-999;    5.8;    1.3;   -0.9;-999;   0.0;   0;    3.500;   0;eor
     1270;19510115;   5;    2.7;   6.4;   7.8;  973.60;   86.00;-999;    5.7;    1.1;    3.2;-999;   4.4;   7;    0.000;   0;eor
     1270;19510116;   5;    2.2;   6.1;   7.0;  993.10;   85.00;-999;    4.3;    0.6;   -0.6;-999;   0.4;   1;    2.200;   0;eor
     1270;19510117;   5;    2.8;   6.0;   6.4;  986.70;   84.00;-999;    4.1;    0.5;   -0.9;-999;   1.7;   7;    0.100;   0;eor
     1270;19510118;   5;    4.7;   7.1;   7.4;  967.90;   82.00;-999;    7.3;    3.2;    1.1;-999;   3.6;   1;    1.400;   0;eor
     1270;19510119;   5;    3.2;   6.5;   7.8;  976.80;   86.00;-999;    4.7;    1.4;    1.1;-999;   4.6;   7;    1.400;   0;eor
     1270;19510120;   5;    2.9;   5.9;   7.2;  976.60;   78.00;-999;    4.6;    1.4;    1.3;-999;   0.1;   1;    2.200;   0;eor
     1270;19510121;   5;    0.0;   4.3;   3.2;  990.20;   68.00;-999;    3.2;   -2.2;   -0.3;-999;   0.0;   1;    6.000;   0;eor
     1270;19510122;   5;    1.2;   5.6;   8.0;  989.40;   84.00;-999;    3.0;   -4.1;   -6.5;-999;   1.8;   1;    0.000;   0;eor
     1270;19510123;   5;    2.1;   6.9;   8.0;  988.00;   97.00;-999;    3.0;    0.7;    0.6;-999;   0.7;   1;    0.000;   0;eor
     1270;19510124;   5;    1.0;   6.4;   8.0;  991.10;   97.00;-999;    2.5;    0.2;    0.1;-999;   0.0;   0;    0.000;   0;eor
     1270;19510125;   5;   -1.3;   5.2;   8.0;  983.40;   94.00;-999;    1.3;   -2.1;   -1.0;-999;   0.0;   0;    0.000;   0;eor
     1270;19510126;   5;   -1.0;   5.5;   8.0;  978.60;   96.00;-999;   -0.2;   -2.5;   -2.5;-999;   0.1;   7;    0.000;   0;eor
     1270;19510127;   5;   -0.2;   5.9;   8.0;  974.00;   99.00;-999;    0.2;   -1.6;   -1.8;-999;   0.1;   7;    0.000;   0;eor
     1270;19510128;   5;   -0.2;   6.0;   8.0;  974.00;   99.00;-999;    0.8;   -1.0;   -0.8;-999;   0.0;   8;    0.000;   0;eor
     1270;19510129;   5;   -1.1;   5.6;   8.0;  984.60;   99.00;-999;   -0.4;   -1.9;   -1.9;-999;   2.5;   7;    0.000;   0;eor
     1270;19510130;   5;   -1.6;   5.5;   8.0;  986.70;  100.00;-999;   -0.5;   -2.6;   -1.4;-999;   0.0;   0;    0.000;   1;eor
     1270;19510131;   5;   -2.3;   5.1;   8.0;  984.60;   96.00;-999;   -1.3;   -3.1;   -3.0;-999;   0.6;   7;    0.000;   1;eor
     1270;19510201;   5;   -0.6;   5.6;   8.0;  991.00;   96.00;-999;    1.0;   -3.0;   -3.0;-999;   0.9;   7;    0.000;   1;eor
     1270;19510202;   5;   -1.9;   5.2;   8.0;  990.40;   93.00;-999;    0.2;   -3.6;   -1.5;-999;   0.9;   7;    0.000;   1;eor
     1270;19510203;   5;   -5.6;   3.7;   4.8;  979.10;   89.00;-999;   -2.3;   -7.1;   -6.0;-999;   0.0;   0;    2.700;   1;eor
     1270;19510204;   5;    0.5;   4.8;   3.4;  964.30;   77.00;-999;    4.4;  -10.6;  -12.2;-999;   0.1;   7;    4.000;   1;eor
     1270;19510205;   5;    1.6;   5.3;   7.4;  958.00;   77.00;-999;    3.4;    0.0;   -1.0;-999;   2.4;   7;    0.300;   0;eor
     1270;19510206;   5;    3.7;   6.4;   7.8;  968.40;   80.00;-999;    6.0;    0.4;   -1.4;-999;   0.0;   0;    1.600;   0;eor
     1270;19510207;   5;    3.5;   6.4;   7.0;  977.40;   80.00;-999;    6.9;    1.9;   -0.4;-999;   0.0;   0;    1.100;   0;eor
     1270;19510208;   5;    4.0;   5.7;   3.8;  977.50;   71.00;-999;    7.4;    0.4;   -1.6;-999;   0.0;   0;    3.900;   0;eor
     1270;19510209;   5;    7.2;   7.1;   4.8;  978.00;   68.00;-999;   11.8;    4.4;    1.7;-999;   0.0;   0;    1.700;   0;eor
     1270;19510210;   5;    3.6;   6.8;   3.4;  980.30;   84.00;-999;    8.4;    0.5;    0.1;-999;   0.0;   0;    4.400;   0;eor
     1270;19510211;   5;    3.5;   7.1;   7.8;  981.00;   91.00;-999;    6.7;    0.5;   -1.8;-999;   0.2;   1;    1.500;   0;eor
     1270;19510212;   5;    4.2;   6.9;   4.8;  982.70;   83.00;-999;    8.6;    1.9;    0.6;-999;   0.1;   1;    4.400;   0;eor
     1270;19510213;   5;    0.3;   6.3;   8.0;  977.20;  100.00;-999;    4.2;   -1.6;   -2.1;-999;   9.4;   7;    0.000;   0;eor
     1270;19510214;   5;    2.0;   6.7;   8.0;  976.20;   92.00;-999;    3.2;   -0.1;   -0.4;-999;   1.5;   7;    0.000;   2;eor
     1270;19510215;   5;    4.0;   6.5;   5.6;  982.80;   81.00;-999;    7.0;    1.1;   -0.1;-999;  11.8;   7;    2.800;   0;eor
     1270;19510216;   5;    1.8;   5.9;   3.0;  985.80;   83.00;-999;    5.0;    0.4;   -0.2;-999;   0.0;   0;    3.900;   1;eor
     1270;19510217;   5;    4.9;   6.7;   6.6;  977.00;   78.00;-999;    6.8;   -0.1;   -1.9;-999;   1.3;   1;    3.300;   0;eor
